Network of 28-10-90 with 546 segments - SE corner region
  2350.  2350.  20.	box dimensions in microns						
  47    47    1		"number of tissue points in x,y,z directions"					
  100			outer bound distance (100. in test case)				
  50				max. segment length.  (5. in test case)			
  8				"nodsegm, max. allowed number of segments per node"			
  445				total number of segments 			
name	type	from	to	diam		flow		HD	
110	724	1724	10
111	629	1684	10
112	589	1667	10
113	542	1645	10
114	1045	1684	10
115	941	1625	10
116	878	1609	10
117	803	1595	10
118	725	1562	10
119	645	1531	10
120	587	1540	10
121	557	1566	10
122	1122	762	10
123	1242	843	10
124	1359	925	10
125	1180	54	10
126	1221	53	10
127	1276	92	10
128	1251	135	10
129	1262	451	10
130	1209	451	10
131	1108	316	10
132	1126	388	10
133	1010	878	10
134	944	782	10
135	879	741	10
136	829	676	10
137	780	608	10
138	1414	1220	10
139	1491	1267	10
140	1592	1239	10
141	1558	1192	10
142	1641	1661	10
143	1742	1712	10
144	1845	1738	10
145	1960	1798	10
146	2035	1784	10
147	2096	1710	10
148	1720	1536	10
149	1752	1441	10
150	1783	1421	10
151	1834	1422	10
152	1929	1475	10
153	2021	1528	10
154	2072	1535	10
155	1959	1676	10
156	2038	1687	10
157	885	1474	10
158	783	1448	10
159	681	1408	10
160	583	1368	10
161	516	1315	10
162	452	1263	10
163	376	1224	10
164	326	1223	10
165	292	1252	10
166	221	1266	10
167	908	1416	10
168	842	1393	10
169	773	1369	10
170	706	1313	10
171	648	1255	10
172	590	1197	10
173	503	1158	10
174	413	1118	10
175	330	1052	10
176	248	983	10
177	165	916	10
178	443	994	10
179	418	1009	10
180	341	901	10
181	263	796	10
182	1363	1831	10
183	1434	1867	10
184	1500	1903	10
185	1538	1954	10
186	1564	2061	10
187	1667	1775	10
188	1736	1777	10
